Kecamatan,Kelurahan,Usia 0-4 Thn,Usia 5-9 Thn,Usia 10-14 Thn,Usian 15-19 Thn,Usia 20-24 Thn,Usia 25-29 Thn,Usia 30-34 Thn,Usia 35-39 Thn,Usia 40-44 Thn,Usia 45-49 Thn,Usia 50-54 Thn,Usia 55-59 Thn,Usia 60-64 Thn,Usia 65-69 Thn,Usia 70-74 Thn,Usia 75 Thn
Kiaracondong,Cicaheum,1147,1442,1469,1277,1407,1361,1290,1436,1386,1237,1167,896,746,481,272,341
Kiaracondong,Kebon Jayanti,845,1119,1099,950,1089,1004,899,953,1106,1034,907,714,538,413,257,398
Kiaracondong,Kebon Kangkung,800,1060,1055,947,1001,919,860,1057,1061,966,858,663,523,411,229,347
Kiaracondong,Sukapura,1906,2283,2334,2034,2259,2249,1977,2253,2198,2060,1904,1490,1196,744,421,548
Lengkong,Burangrang,602,758,768,742,695,753,758,805,796,748,671,590,455,344,253,395
Lengkong,Cijagra,667,900,986,925,926,801,792,905,906,894,856,641,551,381,289,447
Lengkong,Cikawao,572,668,752,646,655,672,637,691,743,651,609,533,416,294,192,279
Lengkong,Lingkar Selatan,604,734,783,801,1009,905,751,713,718,841,803,617,322,237,185,321
Lengkong,Malabar,497,662,625,607,629,596,641,696,646,583,572,453,429,341,201,381
Lengkong,Paledang,329,418,434,419,461,481,413,509,480,422,475,417,324,284,180,284
Lengkong,Turangga,757,1045,1268,1246,1159,969,943,1078,1139,1204,1177,830,652,542,391,805
Mandalajati,Jatihandap,1906,2442,2303,1916,1984,2082,1945,2334,2196,1768,1508,1197,983,709,311,434
Mandalajati,Karang Pamulang,1360,1599,1577,1360,1445,1519,1492,1536,1374,1213,1138,949,709,453,218,275
Mandalajati,Pasir Impun,960,1221,1094,943,1055,1064,981,1069,966,866,723,606,496,307,177,198
Mandalajati,Sindang Jaya,979,1306,1232,1067,1058,1165,1017,1273,1169,1033,865,696,607,457,249,269
Panyileukan,Cipadung Kidul,940,1037,1033,1200,1435,1541,1193,938,897,1002,1259,1270,764,385,193,208
Panyileukan,Cipadung Kulon,948,1179,1095,1016,1208,1227,1070,1053,1010,910,843,771,543,356,156,190
Panyileukan,Cipadung Wetan,250,325,271,274,296,258,256,280,323,234,228,154,135,84,40,64
Panyileukan,Mekar Mulya,639,598,488,412,528,723,743,639,420,325,371,613,444,210,64,75
Rancasari,Cipamokolan,1746,2163,1949,1788,1917,1939,1987,1988,1932,1746,1510,1270,993,659,321,424
Rancasari,Derwati,1280,1497,1488,1500,1631,1696,1392,1372,1440,1317,1323,1111,713,444,214,302
Rancasari,Mekarmulya,1371,1784,1743,1465,1365,1354,1404,1678,1608,1433,1138,795,613,538,271,299
Rancasari,Munjahlega,1466,1715,1614,1374,1525,1646,1728,1922,1686,1506,1180,1045,1076,1103,647,760
Regol,Ancol,681,852,876,837,865,857,825,931,936,870,779,666,551,439,323,415
Regol,Balonggede,487,627,590,517,581,574,627,727,646,584,520,479,391,363,253,318
Regol,Ciateul,373,524,576,543,597,541,494,552,598,589,576,455,343,311,183,334
Regol,Cigereleng,699,857,885,813,860,924,855,908,955,861,813,759,605,496,354,438
Regol,Ciseureuh,1068,1374,1445,1238,1345,1228,1152,1363,1336,1230,1063,810,648,479,276,382
Regol,Pasirluyu,1193,1456,1445,1266,1352,1342,1146,1523,1389,1245,1002,791,658,468,305,332
Regol,Pungkur,385,485,567,473,565,569,489,576,593,522,541,501,397,320,212,312
Sukajadi,Cipedes,1867,2454,2587,2264,2294,2333,2203,2572,2299,2148,1896,1442,1190,856,433,577
Sukajadi,Pasteur,1106,1396,1423,1365,1374,1360,1285,1447,1426,1315,1250,1025,849,629,382,612
Sukajadi,Sukabungah,1419,1761,1792,1670,1604,1645,1520,1788,1694,1591,1394,1103,919,681,409,558
Sukajadi,Sukagalih,1223,1566,1490,1359,1311,1480,1477,1627,1530,1323,1051,796,756,562,385,457
Sukajadi,Sukawarna,967,1191,1191,943,1061,1180,1089,1223,1122,1025,801,697,580,450,289,331
Sukasari,Gegerkalong,1442,1792,1886,1673,1812,1702,1728,1813,1876,1758,1593,1158,1028,739,523,856
Sukasari,Isola,882,1068,1096,991,1030,1035,1005,1162,994,982,843,692,594,455,223,329
Sukasari,Sarijadi,1741,2185,2135,1843,1999,2064,2036,2249,2178,2028,1819,1396,1136,895,672,938
Sukasari,Sukarasa,818,1046,1100,949,1056,1049,938,1143,1014,991,834,658,523,419,318,354
Sumur Bandung,Babakan Ciamis,474,645,678,679,646,538,593,660,706,598,567,469,370,245,146,231
Sumur Bandung,Braga,353,389,499,432,445,444,449,455,480,433,402,317,290,297,186,234
Sumur Bandung,Kebon Pisang,670,909,1039,1005,963,880,813,947,983,921,831,665,573,382,249,371
Sumur Bandung,Merdeka,636,784,934,941,997,891,799,746,751,838,694,539,391,230,161,304
Ujung Berung,Cigending,1123,1378,1473,1235,1317,1296,1160,1350,1310,1196,1082,910,691,495,249,340
Ujung Berung,Pasanggrahan,1439,1825,1778,1569,1584,1650,1484,1647,1530,1477,1223,932,644,472,269,387
Ujung Berung,Pasir Endah,1165,1421,1384,1286,1248,1324,1294,1418,1304,1155,1048,819,732,501,278,302
Ujung Berung,Pasirjati,1189,1661,1557,1319,1371,1336,1244,1492,1409,1242,1064,766,593,396,200,298
Ujung Berung,Pasirwangi,1269,1567,1564,1183,1245,1360,1258,1468,1374,1156,967,698,536,367,180,281
